playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP
torrean02,130,28,5,8,52,66,55,119,13,3,3,12,5,534,600,0.243,0.318,0.360,0.677,0.116,0.304,-3,19.83%,9.17%,2.16,0.300
torreyo01,132,25,1,10,54,53,45,102,12,3,4,5,2,540,600,0.244,0.307,0.350,0.657,0.106,0.296,-7,17.00%,7.50%,2.27,0.285
tovarwi01,137,27,2,15,67,68,50,121,16,5,7,11,3,537,600,0.255,0.327,0.397,0.723,0.142,0.324,7,20.17%,8.33%,2.42,0.304
tracych01,133,27,2,16,63,54,46,110,10,5,4,6,4,546,600,0.244,0.307,0.388,0.695,0.145,0.311,0,18.33%,7.67%,2.39,0.279
treanma01,127,24,3,15,61,65,52,119,11,5,6,9,4,532,600,0.239,0.314,0.380,0.693,0.141,0.311,1,19.83%,8.67%,2.29,0.281
triunca01,130,27,2,15,62,66,43,128,12,3,6,8,3,544,600,0.239,0.302,0.379,0.681,0.140,0.304,-3,21.33%,7.17%,2.98,0.287
troutmi01,157,33,7,27,88,103,77,142,7,6,7,26,4,513,600,0.306,0.404,0.556,0.959,0.250,0.419,51,23.67%,12.83%,1.84,0.378
trumbma01,136,25,2,27,92,71,46,154,14,4,2,5,4,548,600,0.248,0.309,0.449,0.758,0.201,0.333,11,25.67%,7.67%,3.35,0.297
tuiasma01,135,26,2,18,77,75,61,143,12,2,5,6,2,531,600,0.254,0.337,0.412,0.749,0.158,0.333,11,23.83%,10.17%,2.34,0.316
tulowtr01,160,30,2,27,85,93,67,98,11,5,6,4,2,522,600,0.307,0.392,0.527,0.918,0.220,0.403,44,16.33%,11.17%,1.46,0.335
turneju01,160,36,2,11,67,69,45,107,15,2,6,8,3,545,600,0.294,0.354,0.428,0.782,0.134,0.346,17,17.83%,7.50%,2.38,0.349
ugglada01,105,20,2,18,63,70,73,162,9,3,9,4,2,513,600,0.205,0.314,0.357,0.671,0.152,0.305,-2,27.00%,12.17%,2.22,0.261
uptonbj01,119,23,3,17,51,65,54,173,10,3,2,21,6,537,600,0.222,0.295,0.371,0.666,0.149,0.298,-6,28.83%,9.00%,3.20,0.294
uptonju01,144,28,2,23,79,86,62,147,10,3,5,10,4,529,600,0.272,0.354,0.463,0.817,0.191,0.361,24,24.50%,10.33%,2.37,0.337
