playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,,,,,,
seageky01,142,29,2,20,77,67,52,111,10,2,6,9,4,537,597,0.264,0.336,0.438,0.774,0.173,0.342,14.9,18.59%,8.71%,2.13,0.300,,,,,,
segurje01,135,18,6,8,43,65,31,81,13,4,4,25,9,500,541,0.270,0.318,0.378,0.696,0.108,0.310,0.2,14.97%,5.73%,2.61,0.309,,,,,,
selleju01,47,9,1,5,18,23,19,48,5,1,2,3,2,194,218,0.242,0.316,0.376,0.693,0.134,0.310,0.0,22.02%,8.72%,2.53,0.298,,,,,,
semiema01,76,15,2,8,38,40,26,86,7,1,2,5,2,305,335,0.249,0.312,0.390,0.702,0.141,0.312,0.5,25.67%,7.76%,3.31,0.322,,,,,,
shoppke01,45,11,1,6,22,22,17,59,3,2,4,2,1,189,213,0.238,0.314,0.402,0.716,0.164,0.320,1.7,27.70%,7.98%,3.47,0.315,,,,,,
shuckja01,72,12,1,4,28,37,19,44,6,1,1,5,2,280,305,0.257,0.307,0.350,0.657,0.093,0.294,-3.9,14.43%,6.23%,2.32,0.293,,,,,,
sierrmo01,68,16,2,7,28,34,22,72,4,1,2,4,1,272,297,0.250,0.311,0.401,0.712,0.151,0.315,1.1,24.24%,7.41%,3.27,0.316,,,,,,
simmoan01,130,22,4,11,52,57,36,67,18,3,2,5,4,511,554,0.254,0.306,0.378,0.684,0.123,0.304,-2.5,12.09%,6.50%,1.86,0.275,,,,,,
singljo02,70,16,1,12,46,45,45,119,6,2,2,4,3,334,381,0.210,0.307,0.371,0.678,0.162,0.306,-1.3,31.23%,11.81%,2.64,0.286,,,,,,
sizemgr01,86,19,3,7,33,39,32,78,9,1,1,6,2,355,391,0.242,0.307,0.372,0.679,0.130,0.302,-2.4,19.95%,8.18%,2.44,0.293,,,,,,
sizemsc01,49,11,1,5,24,24,15,46,4,1,2,3,1,190,209,0.258,0.319,0.405,0.724,0.147,0.321,1.8,22.01%,7.18%,3.07,0.317,,,,,,
